song,artist,uri,id,track_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
The Hanging Tree - Rebel Remix,James Newton Howard,spotify:track:4rvD0Pq9MEoDyyoCGPm7zS,4rvD0Pq9MEoDyyoCGPm7zS,https://api.spotify.com/v1/tracks/4rvD0Pq9MEoDyyoCGPm7zS,0.83,0.491,-6.418,0.0436,0.0395,0.00532,0.146,0.388,113.014,147787,2
Thinking out Loud,Ed Sheeran,spotify:track:34gCuhDGsG4bRPIf9bb02f,34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560,3
Stuck On a Feeling,Prince Royce,spotify:track:467EtYDw801TKMxMtGCsFO,467EtYDw801TKMxMtGCsFO,https://api.spotify.com/v1/tracks/467EtYDw801TKMxMtGCsFO,0.816,0.415,-6.307,0.0559,0.00391,0.0,0.139,0.304,100.022,210344,2
I Don't Mind (feat. Juicy J),Usher,spotify:track:7aXuop4Qambx5Oi3ynsKQr,7aXuop4Qambx5Oi3ynsKQr,https://api.spotify.com/v1/tracks/7aXuop4Qambx5Oi3ynsKQr,0.87,0.464,-8.337,0.178,0.205,0.0,0.0902,0.457,112.974,251989,2
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,spotify:track:5fnA9mkIfScSqHIpeDyvck,5fnA9mkIfScSqHIpeDyvck,https://api.spotify.com/v1/tracks/5fnA9mkIfScSqHIpeDyvck,0.763,0.875,-5.797,0.0262,0.024,5.41e-06,0.599,0.8,123.013,189413,6
Weekend,Priory,spotify:track:6Drh25cclvIvKj2xyzqiwp,6Drh25cclvIvKj2xyzqiwp,https://api.spotify.com/v1/tracks/6Drh25cclvIvKj2xyzqiwp,0.6,0.817,-6.401,0.0642,0.0696,0.0,0.133,0.652,151.95,241575,5
Heartbeat Song,Kelly Clarkson,spotify:track:53b7YqVw2Vc1oRrYeOm7z7,53b7YqVw2Vc1oRrYeOm7z7,https://api.spotify.com/v1/tracks/53b7YqVw2Vc1oRrYeOm7z7,0.5,0.791,-3.711,0.0505,0.012,0.0,0.0645,0.444,149.093,198693,5
Pieces,Ella Henderson,spotify:track:3fKv2VStjZ03t8MiOun1T0,3fKv2VStjZ03t8MiOun1T0,https://api.spotify.com/v1/tracks/3fKv2VStjZ03t8MiOun1T0,0.629,0.683,-3.758,0.0424,0.0264,1.43e-06,0.0992,0.262,115.828,223867,3
Stolen Dance,Milky Chance,spotify:track:5tjrH5xrpkgKgYd8zQgU8X,5tjrH5xrpkgKgYd8zQgU8X,https://api.spotify.com/v1/tracks/5tjrH5xrpkgKgYd8zQgU8X,0.879,0.574,-8.794,0.037,0.405,0.00015,0.0913,0.682,114.001,311333,3
Masterpiece,Jessie J,spotify:track:3WSxYuV3ibaa8k7ujqPD5a,3WSxYuV3ibaa8k7ujqPD5a,https://api.spotify.com/v1/tracks/3WSxYuV3ibaa8k7ujqPD5a,0.659,0.736,-2.674,0.0419,0.0174,0.0,0.1,0.631,143.92,219413,4
She Knows,Ne-Yo,spotify:track:7seTcUFOhn5caSDbiSfsp0,7seTcUFOhn5caSDbiSfsp0,https://api.spotify.com/v1/tracks/7seTcUFOhn5caSDbiSfsp0,0.706,0.572,-5.799,0.0326,0.0262,0.0,0.585,0.574,139.982,214726,6
Only One,Kanye West,spotify:track:0j35X8cTq543QDYLOyqB8W,0j35X8cTq543QDYLOyqB8W,https://api.spotify.com/v1/tracks/0j35X8cTq543QDYLOyqB8W,0.732,0.243,-6.023,0.0435,0.939,0.0,0.111,0.106,102.087,280227,7
Lay Me Down,Sam Smith,spotify:track:6x69yrZAJvsYxhk0CJS4uT,6x69yrZAJvsYxhk0CJS4uT,https://api.spotify.com/v1/tracks/6x69yrZAJvsYxhk0CJS4uT,0.59,0.451,-8.194,0.0417,0.336,0.0,0.103,0.334,129.729,229015,3
